cow_id,milk_yield_prediction
397,6202.483769352983
249,6722.666791190826
216,5808.959001886867
354,6175.922252916322
549,6565.769628689715
421,6504.845490846219
593,6426.292912841043
248,6426.012378531318
56,5331.642856658529
214,6116.732708001979
285,5694.762554136248
32,6320.554414289072
177,6880.422677227308
87,5463.475702776752
250,6415.244181176551
347,5798.705591080958
3,5847.725062134256
420,6412.710777910425
221,5375.9218708982435
50,6728.23472718434
239,6283.428529080302
404,5409.909244144949
232,5378.509413029948
110,6284.274631416036
592,5527.386512158727
536,6759.824451831931
417,6301.057056250252
501,5881.288079845124
146,5358.196103556296
544,6635.768425832815
410,5852.853467332813
269,5401.657108283589
560,5855.480187119994
381,6317.735405213053
498,6590.05376601283
133,6125.2422341406145
102,6218.385222387838
83,6457.720265397505
518,5550.758898145925
552,5426.646642001604
415,6257.588253001179
384,5355.909626763644
524,5898.424155823569
40,6515.688086569575
132,5799.44905435004
7,5781.684086420494
330,6297.602497165307
262,6109.68895512347
178,6619.421886251877
197,6505.646054989245
412,5799.830287052353
258,5840.9350537860355
383,6334.244218270422
291,5990.398424788953
11,5560.28586533816
581,6300.735755104653
261,6170.43700074994
136,6953.365427937697
578,6347.197241524834
332,6373.023594852272
468,5773.31860440408
31,5250.284767563898
589,6375.653500865668
342,6423.737552115253
193,6281.405198149993
42,6394.198917184084
627,5868.950971227899
175,6742.005996795219
57,5723.51989116974
77,6021.766986973011
413,5439.946806468043
588,5709.109302394896
79,6284.508093733672
25,5535.059152482643
91,6393.443395333827
599,6543.051152038659
628,5793.841450449049
423,6492.152370581258
78,6047.75463452091
496,5499.279256934158
71,6861.446099627991
371,6694.95916659387
405,6503.822719017712
622,6312.760394886703
61,6860.546203437935
156,5413.115199755358
353,7036.428779971036
452,6815.83344703866
604,6278.599318229098
111,6518.734198838592
212,5459.424289101713
321,6577.046489652402
290,5407.17888311267
279,6546.089332389102
312,5794.213455528012
30,6655.989775009552
479,5701.98894346626
166,5594.785961929023
305,6547.536622062782
228,5433.31103378883
575,6146.7184180498725
582,5293.9585861993
209,6298.840110526004
513,5551.850075393844
365,6397.183267754775
164,5531.212602089053
237,6397.256384602726
82,6486.199194237544
119,5856.271275782846
358,6651.066819560729
451,6214.322575599157
229,6217.219726051819
64,6077.412564618074
159,5976.713908733948
73,5807.075834751693
257,5366.871068807812
251,6600.489602470213
572,6311.189115887593
594,7171.833916035221
337,5510.537372220093
564,6948.761828513485
557,6438.986060910959
266,6466.345112516158
474,6345.421603496693
465,6476.895594656546
341,5280.681141186999
